city,zones_in_source
amsterdam,110
athens,7
barcelona,73
bath,33
berlin,143
birmingham,69
brighton,21
bristol,34
brussels,19
budapest,23
cambridge,14
cardiff,28
coventry,18
dublin,11
edinburgh,17
firenze,74
krakow,18
leeds,33
leicester,21
lisbon,24
liverpool,30
madrid,131
milano,88
monaco-di-baviera,25
napoli,10
newcastle,26
nottingham,20
oslo,16
oxford,24
paris,80
portsmouth,14
praha,57
roma,155
sheffield,28
southampton,16
stockholm,11
torino,23
venezia,6
vienna,23
york,21
zurigo,34
